#	Name	Team	BB% BB% - Walk Percentage (BB/PA)	AVG AVG - Batting Average (H/AB)	OBP OBP - On Base Percentage	wRC+ wRC+ - Runs per PA scaled where 100 is average; both league and park adjusted; based on wOBA	PA PA - Plate Appearances	K% K% - Strikeout Percentage (SO/PA)	SLG SLG - Slugging Percentage	wOBA wOBA - Weighted On Base Average (Linear Weights)	OPS OPS - On Base + Slugging Percentage
26	Nelson Velázquez	STL	5.0%	.333	.400	210	20	25.0%	.722	.475	1.122
27	Marcelo Mayer	BOS	0.0%	.357	.333	188	15	13.3%	.786	.454	1.119
28	Ramón Urías	STL	14.3%	.250	.429	206	21	19.0%	.688	.469	1.116
29	Justin Foscue	TEX	7.4%	.333	.407	206	27	25.9%	.708	.472	1.116
30	Joc Pederson	TEX	6.3%	.231	.333	189	16	18.8%	.769	.447	1.103
31	Bryce Eldridge	SFG	8.7%	.381	.435	208	23	30.4%	.667	.472	1.101
32	Jake Rogers	DET	16.7%	.400	.500	208	6	33.3%	.600	.477	1.100
33	Carlos Correa	HOU	16.7%	.359	.458	198	48	12.5%	.641	.461	1.099
34	Coby Mayo	BAL	7.1%	.308	.357	196	56	25.0%	.731	.457	1.088
35	Drake Baldwin	ATL	10.7%	.342	.429	200	84	14.3%	.658	.465	1.086
36	Shea Langeliers	ATH	6.4%	.342	.385	194	78	17.9%	.699	.460	1.083
37	Spencer Steer	CIN	14.7%	.316	.412	188	68	13.2%	.667	.453	1.078
38	Randal Grichuk	2 Tms	6.8%	.333	.390	195	59	22.0%	.685	.457	1.075
39	Jhonny Pereda	SEA	15.4%	.300	.462	203	13	15.4%	.600	.460	1.062
40	Willson Contreras	BOS	13.9%	.305	.431	185	72	16.7%	.627	.449	1.058
41	Gary Sánchez	MIL	20.9%	.324	.465	195	43	20.9%	.588	.455	1.053
42	Yordan Alvarez	HOU	6.9%	.325	.391	186	87	16.1%	.662	.444	1.053
43	Jonah Heim	2 Tms	6.0%	.298	.340	181	50	20.0%	.702	.439	1.042
44	Henry Bolte	ATH	3.1%	.393	.469	192	32	40.6%	.571	.458	1.040
45	Everson Pereira	CHW	13.6%	.368	.455	190	22	27.3%	.579	.450	1.033
46	Agustín Ramírez	MIA	13.5%	.323	.432	176	37	16.2%	.581	.430	1.013
47	Jackson Chourio	MIL	5.1%	.378	.410	182	39	30.8%	.595	.436	1.005
48	Scott Kingery	CHC	0.0%	.500	.500	191	2	0.0%	.500	.447	1.000
